Art Period,start_year,end_year
Romanesque,1000,1150
Gothic,1140,1600
Renaissance,1495,1527
Mannerism,1520,1600
Baroque,1600,1725
Rococo,1720,1760
Neoclassicism,1770,1840
Romanticism,1800,1850
Realism,1840,1870
Pre-Raphaelite,1848,1854
Impressionism,1870,1900
Naturalism,1880,1900
Post-Impressionism,1880,1920
Symbolism,1880,1910
Expressionism,1890,1939
Art Noveau,1895,1915
Cubism,1905,1939
Futurism,1909,1918
Dadaism,1912,1923
New Objectivity,1918,1933
Precisionism,1920,1950
Art Deco,1920,1935
Bauhaus,1920,1925
Surrealism,1924,1945
Abstract Expressionism,1945,1960
Pop-Art / Op Art,1956,1969
Arte Povera,1960,1969
Minimalism,1960,1975
Photorealism,1968,2022
Lowbrow Pop Surrealism,1970,2022
Contemporary Art,1978,2022
Ancient,1,999
